Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Player-additional
1,Sam Howell,WAS,23,QB,10,10,4-6-0,264,397,66.5,2783,17,4.3,9,2.3,127,44.1,51,7.0,6.8,10.5,278.3,91.5,47.3,47,317,10.6,5.55,5.41,2,2,HoweSa00
2,C.J. Stroud,HOU,22,QB,9,9,5-4-0,196,318,61.6,2626,15,4.7,2,0.6,125,46.6,75,8.3,8.9,13.4,291.8,101.0,63.2,19,163,5.6,7.31,7.93,1,2,StroCJ00
3,Tua Tagovailoa,MIA,25,QB,9,9,6-3-0,214,308,69.5,2609,19,6.2,7,2.3,130,52.5,69,8.5,8.7,12.2,289.9,106.4,64.8,14,82,4.3,7.85,8.05,1,1,TagoTu00
4,Josh Allen,BUF,27,QB,10,10,5-5-0,246,350,70.3,2600,19,5.4,11,3.1,124,52.9,55,7.4,7.1,10.6,260.0,96.6,71.8,13,64,3.6,6.99,6.67,1,1,AlleJo02
5,Jared Goff,DET,29,QB,9,9,7-2-0,223,326,68.4,2507,14,4.3,5,1.5,120,51.6,46,7.7,7.9,11.2,278.6,99.1,66.3,15,92,4.4,7.08,7.24,1,2,GoffJa00
6,Patrick Mahomes,KAN,28,QB,9,9,7-2-0,229,334,68.6,2442,17,5.1,8,2.4,118,50.0,54,7.3,7.3,10.7,271.3,96.7,72.8,12,89,3.5,6.80,6.74,0,1,MahoPa00
7,Lamar Jackson,BAL,26,QB,11,11,8-3-0,210,302,69.5,2441,12,4.0,5,1.7,104,48.3,80,8.1,8.1,11.6,221.9,100.1,62.1,27,153,8.2,6.95,7.00,,,JackLa00
8,Dak Prescott,DAL,30,QB,9,9,6-3-0,212,300,70.7,2415,17,5.7,6,2.0,117,51.2,60,8.1,8.3,11.4,268.3,105.1,72.6,22,155,6.8,7.02,7.24,0,1,PresDa01
9,Justin Herbert,LAC,25,QB,9,9,4-5-0,216,322,67.1,2349,17,5.3,5,1.6,115,47.7,60,7.3,7.7,10.9,261.0,99.5,69.6,20,156,5.8,6.41,6.75,1,1,HerbJu00
10,Jalen Hurts,PHI,25,QB,9,9,8-1-0,210,305,68.9,2347,15,4.9,8,2.6,106,46.5,63,7.7,7.5,11.2,260.8,97.0,65.9,22,123,6.7,6.80,6.62,1,2,HurtJa00
11,Kirk Cousins,MIN,35,QB,8,8,4-4-0,216,311,69.5,2331,18,5.8,5,1.6,112,46.6,62,7.5,7.9,10.8,291.4,103.8,63.8,17,110,5.2,6.77,7.18,,,CousKi00
12,Brock Purdy,SFO,24,QB,9,9,6-3-0,172,250,68.8,2329,15,6.0,5,2.0,109,56.4,66,9.3,9.6,13.5,258.8,109.9,76.2,16,98,6.0,8.39,8.67,,,PurdBr00
13,Joe Burrow,CIN,27,QB,10,10,5-5-0,244,365,66.8,2309,15,4.1,6,1.6,115,46.0,64,6.3,6.4,9.5,230.9,91.0,53.5,24,180,6.2,5.47,5.55,,,BurrJo01
14,Derek Carr,NOR,32,QB,10,10,5-5-0,220,334,65.9,2231,10,3.0,4,1.2,102,45.1,58,6.7,6.7,10.1,223.1,89.8,50.7,21,136,5.9,5.90,5.96,0,1,CarrDe02
15,Geno Smith,SEA,33,QB,9,9,6-3-0,196,300,65.3,2171,11,3.7,7,2.3,100,48.6,64,7.2,6.9,11.1,241.2,89.2,54.1,19,149,6.0,6.34,6.04,2,3,SmitGe00
16,Baker Mayfield,TAM,28,QB,9,9,4-5-0,197,305,64.6,2143,14,4.6,5,1.6,99,43.9,70,7.0,7.2,10.9,238.1,93.7,56.3,16,86,5.0,6.41,6.58,0,1,MayfBa00
17,Trevor Lawrence,JAX,24,QB,9,9,6-3-0,202,300,67.3,2120,9,3.0,6,2.0,95,47.8,56,7.1,6.8,10.5,235.6,89.3,55.6,24,153,7.4,6.07,5.79,1,2,LawrTr00
18,Matthew Stafford,LAR,35,QB,8,8,3-5-0,166,278,59.7,2070,8,2.9,7,2.5,96,45.1,49,7.4,6.9,12.5,258.8,82.0,55.7,19,145,6.4,6.48,5.96,0,1,StafMa00
19,Mac Jones,NWE,25,QB,10,10,2-8-0,212,324,65.4,2031,10,3.1,10,3.1,95,43.5,58,6.3,5.5,9.6,203.1,80.2,38.8,21,127,6.1,5.52,4.79,1,1,JoneMa05
20,Jordan Love,GNB,25,QB,9,9,3-6-0,176,300,58.7,2009,14,4.7,10,3.3,98,42.0,77,6.7,6.1,11.4,223.2,80.5,46.3,19,143,6.0,5.85,5.32,1,1,LoveJo03
