Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Keenan Allen,LAC,31,WR,9,9,97,73,75.3%,895,12.3,6,41,59.8,42,9.2,8.1,99.4,1,AlleKe00
2,Stefon Diggs,BUF,30,WR,10,10,102,73,71.6%,868,11.9,7,43,57.8,55,8.5,7.3,86.8,1,DiggSt00
3,Ja'Marr Chase,CIN,23,WR,10,10,106,71,67.0%,833,11.7,6,47,58.5,64,7.9,7.1,83.3,1,ChasJa00
4,T.J. Hockenson,MIN,26,TE,10,7,95,71,74.7%,681,9.6,4,38,53.7,29,7.2,7.1,68.1,1,HockTJ00
5,Tyreek Hill,MIA,29,WR,9,9,97,69,71.1%,1076,15.6,8,50,60.8,69,11.1,7.7,119.6,1,HillTy00
6,CeeDee Lamb,DAL,24,WR,9,9,86,68,79.1%,975,14.3,4,42,65.1,49,11.3,7.6,108.3,2,LambCe00
7,Adam Thielen,CAR,33,WR,9,9,86,68,79.1%,652,9.6,4,38,59.3,31,7.6,7.6,72.4,0,ThieAd00
8,A.J. Brown,PHI,26,WR,9,9,92,67,72.8%,1005,15.0,6,46,57.6,59,10.9,7.4,111.7,0,BrowAJ00
9,Michael Pittman Jr.,IND,26,WR,10,10,98,66,67.3%,677,10.3,3,28,46.9,75,6.9,6.6,67.7,1,PittMi01
10,Amon-Ra St. Brown,DET,24,WR,8,8,87,65,74.7%,821,12.6,4,38,64.4,46,9.4,8.1,102.6,1,StxxAm00
11,Puka Nacua,LAR,22,WR,9,9,96,64,66.7%,827,12.9,2,41,57.3,37,8.6,7.1,91.9,1,NacuPu00
12,Davante Adams,LVR,31,WR,10,10,98,57,58.2%,659,11.6,3,37,53.1,42,6.7,5.7,65.9,0,AdamDa01
13,Travis Kelce,KAN,34,TE,8,8,72,57,79.2%,597,10.5,4,31,63.9,53,8.3,7.1,74.6,0,KelcTr00
14,Chris Olave,NOR,23,WR,10,8,94,56,59.6%,657,11.7,3,34,51.1,45,7.0,5.6,65.7,0,OlavCh00
15,Evan Engram,JAX,29,TE,9,8,68,55,80.9%,446,8.1,0,19,51.5,34,6.6,6.1,49.6,2,EngrEv00
16,Garrett Wilson,NYJ,23,WR,9,9,95,55,57.9%,642,11.7,2,27,45.3,68,6.8,6.1,71.3,1,WilsGa00
17,Zay Flowers,BAL,23,WR,11,11,72,53,73.6%,588,11.1,1,26,58.3,52,8.2,4.8,53.5,0,FlowZa00
18,D.J. Moore,CHI,26,WR,10,10,71,52,73.2%,793,15.3,5,36,62.0,58,11.2,5.2,79.3,1,MoorD.00
19,Terry McLaurin,WAS,28,WR,10,10,79,51,64.6%,601,11.8,2,29,49.4,36,7.6,5.1,60.1,0,McLaTe00
20,Alvin Kamara,NOR,28,RB,7,7,56,50,89.3%,305,6.1,1,15,44.6,25,5.4,7.1,43.6,0,KamaAl00
21,Christian Kirk,JAX,27,WR,9,9,71,49,69.0%,624,12.7,3,27,57.7,45,8.8,5.4,69.3,2,KirkCh01
22,Tyler Boyd,CIN,29,WR,10,10,67,47,70.1%,439,9.3,2,19,46.3,64,6.6,4.7,43.9,0,BoydTy00
23,Sam LaPorta,DET,22,TE,9,7,64,47,73.4%,474,10.1,4,24,54.7,45,7.4,5.2,52.7,0,LaPoSa01
24,Cole Kmet,CHI,24,TE,10,10,57,46,80.7%,419,9.1,5,24,66.7,23,7.4,4.6,41.9,1,KmetCo00
25,Tyler Lockett,SEA,31,WR,9,9,67,46,68.7%,494,10.7,4,26,64.2,36,7.4,5.1,54.9,0,LockTy00
26,Jordan Addison,MIN,21,WR,10,7,66,45,68.2%,603,13.4,7,25,51.5,62,9.1,4.5,60.3,0,AddiJo00
27,Mark Andrews,BAL,28,TE,10,9,61,45,73.8%,544,12.1,6,27,62.3,38,8.9,4.5,54.4,1,AndrMa00
28,Dalton Kincaid,BUF,24,TE,9,7,51,45,88.2%,390,8.7,2,17,70.6,22,7.6,5.0,43.3,1,KincDa00
29,Chris Godwin,TAM,27,WR,9,9,68,44,64.7%,522,11.9,1,28,48.5,42,7.7,4.9,58.0,0,GodwCh00
30,Marquise Brown,ARI,26,WR,10,10,81,43,53.1%,468,10.9,4,28,44.4,41,5.8,4.3,46.8,0,BrowMa04
31,Josh Downs,IND,22,WR,10,6,60,43,71.7%,523,12.2,2,22,56.7,59,8.7,4.3,52.3,0,DownJo00
32,Mike Evans,TAM,30,WR,9,9,70,43,61.4%,737,17.1,6,28,55.7,70,10.5,4.8,81.9,0,EvanMi00
33,Jakobi Meyers,LVR,27,WR,9,9,64,42,65.6%,463,11.0,5,27,54.7,25,7.2,4.7,51.4,0,MeyeJa01
34,DeVonta Smith,PHI,25,WR,9,9,60,42,70.0%,533,12.7,4,20,46.7,63,8.9,4.7,59.2,0,SmitDe07
35,Amari Cooper,CLE,29,WR,9,9,72,41,56.9%,715,17.4,2,29,51.4,59,9.9,4.6,79.4,1,CoopAm00
