Tm,W,L,T,Position,Reason
Baltimore Ravens,8,3,0,North Champion,
Kansas City Chiefs,7,3,0,West Champion,head-to-head record
Jacksonville Jaguars,7,3,0,South Champion,strength of victory
Miami Dolphins,7,3,0,East Champion,
Cleveland Browns,7,3,0,Wild Card #1,
Houston Texans,6,4,0,Wild Card #2,head-to-head record
Pittsburgh Steelers,6,4,0,Wild Card #3,
Buffalo Bills,6,5,0,,
Indianapolis Colts,5,5,0,,conference win percentage
Denver Broncos,5,5,0,,conference win percentage
Cincinnati Bengals,5,5,0,,
Las Vegas Raiders,5,6,0,,
Los Angeles Chargers,4,6,0,,head-to-head record
New York Jets,4,6,0,,
Tennessee Titans,3,7,0,,
New England Patriots,2,8,0,,
Philadelphia Eagles,9,1,0,East Champion,
San Francisco 49ers,8,3,0,West Champion,conference win percentage
Detroit Lions,8,3,0,North Champion,
New Orleans Saints,5,5,0,South Champion,
Dallas Cowboys,8,3,0,Wild Card #1,
Minnesota Vikings,6,5,0,Wild Card #2,conference win percentage
Seattle Seahawks,6,5,0,Wild Card #3,
Green Bay Packers,5,6,0,,
Los Angeles Rams,4,6,0,,strength of victory
Atlanta Falcons,4,6,0,,head-to-head record
Tampa Bay Buccaneers,4,6,0,,
Washington Commanders,4,8,0,,
New York Giants,3,8,0,,conference win percentage
Chicago Bears,3,8,0,,
Arizona Cardinals,2,9,0,,
Carolina Panthers,1,9,0,,
