Tm,W,L,T,Position,Reason
Philadelphia Eagles (1),9,1,0,East Champion,
San Francisco 49ers (2),8,3,0,West Champion,conference win percentage
Detroit Lions (3),8,3,0,North Champion,
New Orleans Saints (4),5,5,0,South Champion,
Dallas Cowboys (5),8,3,0,Wild Card #1,
Minnesota Vikings (6),6,5,0,Wild Card #2,conference win percentage
Seattle Seahawks (7),6,5,0,Wild Card #3,
Green Bay Packers,5,6,0,,
Los Angeles Rams,4,6,0,,strength of victory
Atlanta Falcons,4,6,0,,head-to-head record
Tampa Bay Buccaneers,4,6,0,,
Washington Commanders,4,8,0,,
New York Giants,3,8,0,,conference win percentage
Chicago Bears,3,8,0,,
Arizona Cardinals,2,9,0,,
Carolina Panthers,1,9,0,,
